Player,Position,ADP_Round,ADP_Pick,ADP,VAL,Bye,Team
Jahmyr Gibbs,RB,1,1,1,9.3,6,DET
Ja'Marr Chase,WR,1,2,2,9.2,6,CIN
Puka Nacua,WR,1,3,3,8.7,11,LAR
Bijan Robinson,RB,1,4,4,8.5,11,ATL
Jaxon Smith-Njigba,WR,1,5,5,8.1,11,SEA
Amon-Ra St. Brown,WR,1,6,6,7.8,6,DET
Jonathan Taylor,RB,1,7,7,6.9,13,IND
Christian McCaffrey,RB,1,8,8,6.7,8,SF
Chase Brown,RB,1,9,9,6,6,CIN
CeeDee Lamb,WR,1,10,10,5.9,14,DAL
Justin Jefferson,WR,2,1,11,5.9,6,MIN
A.J. Brown,WR,2,2,12,5.5,11,NE
De'Von Achane,RB,2,3,13,5.3,6,MIA
Saquon Barkley,RB,2,4,14,5.3,10,PHI
James Cook III,RB,2,5,15,5.3,7,BUF
Drake London,WR,2,6,16,5.2,11,ATL
Chris Olave,WR,2,7,17,4.9,8,NO
Nico Collins,WR,2,8,18,4.8,8,HOU
Kenneth Walker III,RB,2,9,19,4.7,5,KC
George Pickens,WR,2,10,20,4.6,14,DAL
Malik Nabers,WR,3,1,21,4.6,8,NYG
Omarion Hampton,RB,3,2,22,4.5,7,LAC
DeVonta Smith,WR,3,3,23,4.3,10,PHI
Ashton Jeanty,RB,3,4,24,4.1,13,LV
Brock Bowers,TE,3,5,25,3.7,13,LV
Zay Flowers,WR,3,6,26,3.7,13,BAL
Rashee Rice,WR,3,7,27,3.6,5,KC
Breece Hall,RB,3,8,28,3.5,13,NYJ
Jeremiyah Love,RB,3,9,29,3.5,14,ARI
Jaylen Waddle,WR,3,10,30,3.5,10,DEN
Garrett Wilson,WR,4,1,31,3.4,13,NYJ
Kyren Williams,RB,4,2,32,3.4,11,LAR
Javonte Williams,RB,4,3,33,3.3,14,DAL
Tee Higgins,WR,4,4,34,3.2,6,CIN
Derrick Henry,RB,4,5,35,3.1,13,BAL
Trey McBride,TE,4,6,36,3.1,14,ARI
Travis Etienne Jr.,RB,4,7,37,3.1,8,NO
Ladd McConkey,WR,4,8,38,3.1,7,LAC
Tetairoa McMillan,WR,4,9,39,2.8,5,CAR
D'Andre Swift,RB,4,10,40,2.7,10,CHI
Bucky Irving,RB,5,1,41,2.6,10,TB
Luther Burden III,WR,5,2,42,2.5,10,CHI
Emeka Egbuka,WR,5,3,43,2.3,10,TB
Cam Skattebo,RB,5,4,44,2.2,8,NYG
David Montgomery,RB,5,5,45,2,8,HOU
Terry McLaurin,WR,5,6,46,1.9,7,WAS
Josh Allen,QB,5,7,47,1.9,7,BUF
Colston Loveland,TE,5,8,48,1.8,10,CHI
DJ Moore,WR,5,9,49,1.8,7,BUF
Davante Adams,WR,5,10,50,1.8,11,LAR
Lamar Jackson,QB,6,1,51,1.7,13,BAL
Quinshon Judkins,RB,6,2,52,1.7,11,CLE
Jameson Williams,WR,6,3,53,1.6,6,DET
Drake Maye,QB,6,4,54,1.6,11,NE
Tyler Warren,TE,6,5,55,1.5,13,IND
Christian Watson,WR,6,6,56,1.4,11,GB
Rome Odunze,WR,6,7,57,1.3,10,CHI
Parker Washington,WR,6,8,58,1.2,7,JAC
Carnell Tate,WR,6,9,59,1.2,9,TEN
Marvin Harrison Jr.,WR,6,10,60,1.1,14,ARI
Harold Fannin Jr.,TE,7,1,61,1.1,11,CLE
Bhayshul Tuten,RB,7,2,62,1.1,7,JAC
Mike Evans,WR,7,3,63,1.1,8,SF
Kyle Pitts Sr.,TE,7,4,64,1.1,11,ATL
Joe Burrow,QB,7,5,65,1,6,CIN
Tucker Kraft,TE,7,6,66,1,11,GB
Jalen Hurts,QB,7,7,67,0.9,10,PHI
Rhamondre Stevenson,RB,7,8,68,0.9,11,NE
Jaylen Warren,RB,7,9,69,0.8,9,PIT
Jadarian Price,RB,7,10,70,0.8,11,SEA
Sam LaPorta,TE,8,1,71,0.8,6,DET
TreVeyon Henderson,RB,8,2,72,0.7,11,NE
Jayden Daniels,QB,8,3,73,0.7,7,WAS
Chris Godwin Jr.,WR,8,4,74,0.7,10,TB
Brian Thomas Jr.,WR,8,5,75,0.6,7,JAC
Travis Kelce,TE,8,6,76,0.6,5,KC
Caleb Williams,QB,8,7,77,0.6,10,CHI
DK Metcalf,WR,8,8,78,0.6,9,PIT
Michael Pittman Jr.,WR,8,9,79,0.5,9,PIT
Justin Herbert,QB,8,10,80,0.5,7,LAC
George Kittle,TE,9,1,81,0.5,8,SF
Tony Pollard,RB,9,2,82,0.5,9,TEN
Wan'Dale Robinson,WR,9,3,83,0.4,9,TEN
Josh Downs,WR,9,4,84,0.4,13,IND
Trevor Lawrence,QB,9,5,85,0.2,7,JAC
Rico Dowdle,RB,9,6,86,0.2,9,PIT
Stefon Diggs,WR,9,7,87,0.2,7,WAS
Jonathon Brooks,RB,9,8,88,0.2,5,CAR
Michael Wilson,WR,9,9,89,0.1,14,ARI
Courtland Sutton,WR,9,10,90,0.1,10,DEN
Dak Prescott,QB,10,1,91,0.1,14,DAL
Brock Purdy,QB,10,2,92,0.1,8,SF
Bo Nix,QB,10,3,93,0,10,DEN
Dalton Kincaid,TE,10,4,94,0,7,BUF
Jaxson Dart,QB,10,5,95,-0.1,8,NYG
Quentin Johnston,WR,10,6,96,-0.1,7,LAC
Patrick Mahomes II,QB,10,7,97,-0.1,5,KC
Isaiah Likely,TE,10,8,98,-0.2,8,NYG
Jared Goff,QB,10,9,99,-0.2,6,DET
Jayden Reed,WR,10,10,100,-0.2,11,GB
KC Concepcion,WR,11,1,101,-0.3,11,CLE
Khalil Shakir,WR,11,2,102,-0.4,7,BUF
RJ Harvey,RB,11,3,103,-0.4,10,DEN
Jakobi Meyers,WR,11,4,104,-0.4,7,JAC
Dallas Goedert,TE,11,5,105,-0.4,10,PHI
Alec Pierce,WR,11,6,106,-0.4,13,IND
Makai Lemon,WR,11,7,107,-0.4,10,PHI
Jordan Addison,WR,11,8,108,-0.5,6,MIN
Matthew Stafford,QB,11,9,109,-0.5,11,LAR
Jake Ferguson,TE,11,10,110,-0.5,14,DAL
Chuba Hubbard,RB,12,1,111,-0.6,5,CAR
MarShawn Lloyd,RB,12,2,112,-0.6,11,GB
Jalen Coker,WR,12,3,113,-0.6,5,CAR
J.K. Dobbins,RB,12,4,114,-0.6,10,DEN
Kenny Gainwell,RB,12,5,115,-0.7,10,TB
Matthew Golden,WR,12,7,116,-0.7,11,GB
De'Zhaun Stribling,WR,12,8,117,-0.7,8,SF
Romeo Doubs,WR,12,9,118,-0.7,11,NE
Kyler Murray,QB,12,10,119,-0.8,6,MIN
Jordyn Tyson,WR,13,1,120,-0.9,8,NO
Xavier Worthy,WR,13,2,121,-0.9,5,KC
Deebo Samuel Sr.,WR,13,3,122,-0.9,8,SF
Aaron Jones Sr.,RB,13,5,123,-1,6,MIN
Denzel Boston,WR,13,6,124,-1,11,CLE
Rachaad White,RB,13,7,125,-1,7,WAS
Blake Corum,RB,13,8,126,-1,11,LAR
Jordan Love,QB,13,9,127,-1.2,11,GB
Baker Mayfield,QB,14,1,128,-1.2,10,TB
Tyler Shough,QB,14,2,129,-1.3,8,NO
Tyler Allgeier,RB,14,3,130,-1.3,14,ARI
Jerry Jeudy,WR,14,4,131,-1.3,11,CLE
Kyle Monangai,RB,14,5,132,-1.3,10,CHI
Rashid Shaheed,WR,14,6,133,-1.3,11,SEA
Woody Marks,RB,14,7,134,-1.4,8,HOU
